Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;17.50;17.78;17.30;17.70;"13/05/2022 16:25";CET;270825;4765132.54
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;64.00;64.80;63.40;64.00;"13/05/2022 16:27";CET;25907;1662671.80
"KMC PROPERTIES";NO0010360175;KMCP;"Oslo Børs";NOK;8.70;8.94;8.70;8.78;"13/05/2022 15:49";CET;8778;77327.10
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;27.25;27.25;25.60;26.25;"13/05/2022 16:25";CET;31618;830162.30
"KOMPLETT BANK";NO0010694029;KOMP;"Oslo Børs";NOK;6.69;6.69;6.60;6.69;"13/05/2022 16:25";CET;28611;190131.44
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;2.41;2.692;2.41;2.666;"13/05/2022 16:28";CET;17332879;44749665.726
"KONGSBERG GRUPPEN";NO0003043309;KOG;"Oslo Børs";NOK;322.40;339.80;322.00;337.80;"13/05/2022 16:27";CET;590755;197620562.60
"KRAFT BANK";NO0010815103;KRAB;"Euronext Growth Oslo";NOK;10.70;10.70;10.70;10.70;"13/05/2022 13:05";CET;5000;53500.00
"KYOTO GROUP";NO0010936750;KYOTO;"Euronext Growth Oslo";NOK;16.75;17.50;15.95;17.50;"13/05/2022 16:25";CET;21055;356671.20
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;79.90;79.90;72.80;74.20;"13/05/2022 16:27";CET;2967525;222337722.45
LIFECARE;NO0010591191;LIFE;"Euronext Growth Oslo";NOK;2.34;2.40;2.185;2.39;"13/05/2022 16:19";CET;274479;627818.435
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;11.60;12.90;11.60;12.46;"13/05/2022 16:25";CET;872889;10758391.06
"LUMI GRUPPEN";NO0010927288;LUMI;"Euronext Growth Oslo";NOK;32.80;32.80;32.80;32.80;"12/05/2022 16:25";CET;11334;371755.20
"LYTIX BIOPHARMA";NO0010405780;LYTIX;"Euronext Growth Oslo";NOK;9.50;9.60;9.02;9.50;"13/05/2022 14:05";CET;25268;235086.96
"M VEST WATER";NO0010976343;MVW;"Euronext Growth Oslo";NOK;9.11;9.30;9.11;9.11;"13/05/2022 12:55";CET;12049;110775.39
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;17.60;18.14;17.02;17.92;"13/05/2022 16:26";CET;275536;4887378.92
"MAGSEIS FAIRFIELD";NO0010663669;MSEIS;"Oslo Børs";NOK;5.40;5.94;5.32;5.88;"13/05/2022 16:25";CET;1722734;9860932.44
MÅSØVAL;NO0010974983;MAS;"Euronext Growth Oslo";NOK;48.10;48.50;46.90;47.00;"13/05/2022 16:31";CET;16299;766863.00
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;236.50;243.00;232.50;240.50;"13/05/2022 16:25";CET;3601;864474.50
"MELHUS SPAREBANK";NO0006001908;MELG;"Oslo Børs";NOK;164.00;165.00;164.00;165.00;"13/05/2022 13:43";CET;96;15791.00
MELTWATER;NL00150003D3;MWTR;"Oslo Børs";NOK;11.42;12.85;11.19;12.72;"13/05/2022 16:25";CET;1107317;13658890.32
"MERCELL HOLDING";NO0010307143;MRCEL;"Oslo Børs";NOK;2.95;2.95;2.80;2.90;"13/05/2022 16:25";CET;168440;484352.495
"MINTRA HOLDING";NO0010895022;MNTR;"Euronext Growth Oslo";NOK;3.95;3.95;3.95;3.95;"13/05/2022 16:08";CET;981;3874.95
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;237.20;237.40;229.80;236.40;"13/05/2022 16:27";CET;1281040;300956987.80
"MPC CONTAINER SHIP";NO0010791353;MPCC;"Oslo Børs";NOK;26.52;27.24;26.47;27.22;"13/05/2022 16:25";CET;2675742;71919561.61
"MPC ENERGY SOLUTIO";NL0015268814;MPCES;"Euronext Growth Oslo";NOK;22.50;24.50;22.45;23.25;"13/05/2022 16:19";CET;168384;3939630.20
MULTICONSULT;NO0010734338;MULTI;"Oslo Børs";NOK;138.20;141.00;137.40;140.20;"13/05/2022 16:25";CET;6366;888254.80
NAPATECH;DK0060520450;NAPA;"Oslo Børs";NOK;10.00;10.14;9.70;10.14;"13/05/2022 15:21";CET;7592;74262.96
NAVAMEDIC;NO0010205966;NAVA;"Oslo Børs";NOK;28.80;29.00;27.90;27.90;"13/05/2022 16:19";CET;855;23905.00
NEKKAR;NO0003049405;NKR;"Oslo Børs";NOK;7.61;7.74;7.55;7.66;"13/05/2022 16:25";CET;74733;570316.63
NEL;NO0010081235;NEL;"Oslo Børs";NOK;12.355;13.12;11.875;13.12;"13/05/2022 16:28";CET;10088859;129567753.095
"NETOIL CAPITAL";GB00BF2PG875;NOC;"Euronext Growth Oslo";NOK;4.78;4.80;4.78;4.80;"19/07/2021 14:33";CET;1000;4786.20
"NEXT BIOMETRICS GP";NO0010629108;NEXT;"Oslo Børs";NOK;4.44;4.445;4.07;4.375;"13/05/2022 16:25";CET;281797;1213811.19
"NIDAROS SPAREBANK";NO0010733082;NISB;"Euronext Growth Oslo";NOK;124.00;124.00;124.00;124.00;"13/05/2022 14:17";CET;41;5084.00
NORBIT;NO0010856511;NORBT;"Oslo Børs";NOK;25.90;27.70;25.90;26.70;"13/05/2022 16:25";CET;83202;2238709.20
NORCOD;NO0010892912;NCOD;"Euronext Growth Oslo";NOK;80.00;82.20;80.00;82.20;"13/05/2022 14:58";CET;1213;98166.40
"NORDHEALTH A-AKSJE";NO0011002651;NORDH;"Euronext Growth Oslo";NOK;18.00;18.90;17.00;18.45;"13/05/2022 16:19";CET;11941;207797.30
"NORDIC AQUA PART";DK0061414638;NOAP;"Euronext Growth Oslo";NOK;62.00;62.00;61.00;61.00;"13/05/2022 10:56";CET;1662;101388.00
"NORDIC HALIBUT";NO0003058109;NOHAL;"Euronext Growth Oslo";NOK;27.00;27.00;26.60;26.60;"13/05/2022 11:40";CET;1065;28355.00
"NORDIC MINING";NO0010317340;NOM;"Euronext Expand Oslo";NOK;3.33;3.42;3.27;3.42;"13/05/2022 16:25";CET;827141;2764281.18
"NORDIC NANOVECTOR";NO0010597883;NANOV;"Oslo Børs";NOK;13.10;13.10;10.85;11.04;"13/05/2022 16:25";CET;2394243;27387917.39
"NORDIC SEMICONDUC";NO0003055501;NOD;"Oslo Børs";NOK;170.50;175.65;168.50;175.65;"13/05/2022 16:29";CET;844796;146770686.275
"NORDIC UNMANNED";NO0010907090;NUMND;"Euronext Growth Oslo";NOK;27.40;29.00;27.35;28.00;"13/05/2022 16:16";CET;42659;1193839.65
"NORSE ATLANTIC";NO0010946445;NORSE;"Euronext Growth Oslo";NOK;13.20;13.20;12.82;12.98;"13/05/2022 16:25";CET;100768;1309766.92
"NORSK HYDRO";NO0005052605;NHY;"Oslo Børs";NOK;66.00;69.00;65.28;68.60;"13/05/2022 16:26";CET;6014215;407079611.54
"NORSK SOLAR";NO0010941925;NSOL;"Euronext Growth Oslo";NOK;4.10;4.34;4.02;4.34;"13/05/2022 16:14";CET;24479;102286.74
"NORSK TITANIUM";NO0010969108;NTI;"Euronext Growth Oslo";NOK;3.60;3.78;3.52;3.78;"13/05/2022 15:42";CET;13567;48642.43
"NORSKE SKOG";NO0010861115;NSKOG;"Oslo Børs";NOK;47.90;48.86;47.68;48.16;"13/05/2022 16:25";CET;483902;23289270.34
NORTEL;NO0010900087;NTEL;"Euronext Growth Oslo";NOK;17.30;17.30;17.30;17.30;"13/05/2022 09:25";CET;300;5190.00
"NORTH ENERGY";NO0010550056;NORTH;"Euronext Expand Oslo";NOK;2.495;2.505;2.35;2.50;"13/05/2022 16:02";CET;98768;242416.475
"NORTHERN DRILLING";BMG6624L1090;NODL;"Oslo Børs";NOK;23.65;24.50;22.60;24.00;"13/05/2022 16:25";CET;39891;939868.60
"NORTHERN OCEAN LTD";BMG6682J1036;NOL;"Oslo Børs";NOK;9.49;10.02;9.28;10.00;"13/05/2022 16:25";CET;286671;2777035.81
"NORWAY ROYALSALMON";NO0010331838;NRS;"Oslo Børs";NOK;219.00;221.00;216.50;219.50;"13/05/2022 16:25";CET;35567;7775148.50
"NORWEGIAN AIR SHUT";NO0010196140;NAS;"Oslo Børs";NOK;10.80;10.925;10.16;10.88;"13/05/2022 16:28";CET;13238219;139973709.575
"NORWEGIAN BLOCK EX";NO0010984966;NBX;"Euronext Growth Oslo";NOK;3.85;3.99;3.605;3.865;"13/05/2022 15:51";CET;15965;59590.515
"NORWEGIAN ENERGY";NO0010379266;NOR;"Oslo Børs";NOK;360.00;379.50;360.00;368.50;"13/05/2022 16:25";CET;150363;56306559.50
"NRC GROUP";NO0003679102;NRC;"Oslo Børs";NOK;18.80;19.24;18.38;19.04;"13/05/2022 16:25";CET;347157;6551270.92
NTS;NO0004895103;NTS;"Oslo Børs";NOK;114.00;117.00;113.00;117.00;"13/05/2022 14:57";CET;1805;210278.00
"NYKODE THERAPEUTIC";NO0010714785;NYKD;"Euronext Growth Oslo";NOK;30.00;31.32;29.12;31.00;"13/05/2022 16:25";CET;840040;25651394.00
"OBSERVE MEDICAL";NO0010865009;OBSRV;"Euronext Expand Oslo";NOK;6.16;6.16;5.62;5.78;"13/05/2022 16:19";CET;359152;2067777.08
"OCEAN GEOLOOP";NO0010914641;OCEAN;"Euronext Growth Oslo";NOK;27.00;27.00;27.00;27.00;"12/05/2022 14:42";CET;2160;58320.00
"OCEAN SUN";NO0010887565;OSUN;"Euronext Growth Oslo";NOK;12.90;13.54;12.90;12.90;"13/05/2022 16:17";CET;46392;601135.78
OCEANTEAM;NO0010317316;OTS;"Oslo Børs";NOK;2.17;2.17;2.02;2.10;"13/05/2022 16:18";CET;18538;39125.13
"ODFJELL DRILLING";BMG671801022;ODL;"Oslo Børs";NOK;24.50;24.90;23.70;24.10;"13/05/2022 16:25";CET;458926;11090925.15
"ODFJELL SER. A";NO0003399909;ODF;"Oslo Børs";NOK;45.00;45.90;44.00;44.50;"13/05/2022 16:25";CET;19609;872039.60
"ODFJELL SER. B";NO0003399917;ODFB;"Oslo Børs";NOK;45.20;45.20;43.60;44.20;"13/05/2022 16:25";CET;12464;549032.80
"ODFJELL TECHNOLOGY";BMG6716L1081;OTL;"Oslo Børs";NOK;23.00;23.80;22.50;23.80;"13/05/2022 16:25";CET;63539;1465817.535
